timestamp,tvx,tvy,tvz,rvx,rvy,rvz
1964.6125,-80.0,75.0,25.0,0.0,0.0,0.0
1964.7125,-80.0,75.0,25.0,0.0,0.0,0.0
1964.8125,-80.0,75.0,25.0,0.0,0.0,0.0
1964.9125,-80.0,75.0,25.0,0.0,0.0,0.0
1965.0125,-80.0,75.0,25.0,0.0,0.0,0.0
1965.1125,-80.0,75.0,25.0,0.0,0.0,0.0
1965.2125,-80.0,75.0,25.0,0.0,0.0,0.0
1965.3125,-80.0,75.0,25.0,0.0,0.0,0.0
1965.415,-80.0,75.0,25.0,0.0,0.0,0.0
1965.5125,-80.0,75.0,25.0,0.0,0.0,0.0
1965.6125,-80.0,75.0,25.0,0.0,0.0,0.0
1965.7125,-80.0,75.0,25.0,0.0,0.0,0.0
1965.8125,-80.0,75.0,25.0,0.0,0.0,0.0
1965.9125,-80.0,75.0,25.0,0.0,0.0,0.0
1966.0125,-80.0,75.0,25.0,0.0,0.0,0.0
1966.1125,-80.0,75.0,25.0,0.0,0.0,0.0
1966.2125,-80.0,75.0,25.0,0.0,0.0,0.0
1966.3125,-80.0,75.0,25.0,0.0,0.0,0.0
1966.4125,-80.0,75.0,25.0,0.0,0.0,0.0
1966.5125,-80.0,75.0,25.0,0.0,0.0,0.0
1966.6125,-80.0,75.0,25.0,0.0,0.0,0.0
1966.715,-80.0,75.0,25.0,0.0,0.0,0.0
1966.8125,-80.0,75.0,25.0,0.0,0.0,0.0
1966.9125,-80.0,75.0,25.0,0.0,0.0,0.0
1967.0125,-80.0,75.0,25.0,0.0,0.0,0.0
1967.1125,-80.0,75.0,25.0,0.0,0.0,0.0
1967.2125,-80.0,75.0,25.0,0.0,0.0,0.0
1967.3125,-80.0,75.0,25.0,0.0,0.0,0.0
1967.4125,-80.0,75.0,25.0,0.0,0.0,0.0
1967.5125,-80.0,75.0,25.0,0.0,0.0,0.0
1967.61,-80.0,75.0,25.0,0.0,0.0,0.0
1967.7125,-80.0,75.0,25.0,0.0,0.0,0.0
1967.8125,-80.0,75.0,25.0,0.0,0.0,0.0
1967.9125,-80.0,75.0,25.0,0.0,0.0,0.0
1968.0125,-80.0,75.0,25.0,0.0,0.0,0.0
1968.1125,-80.0,75.0,25.0,0.0,0.0,0.0
1968.2125,-80.0,75.0,25.0,0.0,0.0,0.0
1968.3125,-80.0,75.0,25.0,0.0,0.0,0.0
1968.41,-80.0,75.0,25.0,0.0,0.0,0.0
1968.5125,-80.0,75.0,25.0,0.0,0.0,0.0
1968.6125,-80.0,75.0,25.0,0.0,0.0,0.0
1968.7125,-80.0,75.0,25.0,0.0,0.0,0.0
1968.81,-80.0,75.0,25.0,0.0,0.0,0.0
1968.9125,-80.0,75.0,25.0,0.0,0.0,0.0
1969.0125,-80.0,75.0,25.0,0.0,0.0,0.0
1969.1125,-80.0,75.0,25.0,0.0,0.0,0.0
1969.2125,-80.0,75.0,25.0,0.0,0.0,0.0
1969.3125,-80.0,75.0,25.0,0.0,0.0,0.0
1969.4125,-80.0,75.0,25.0,0.0,0.0,0.0
1969.5125,-80.0,75.0,25.0,0.0,0.0,0.0
1969.6125,-80.0,75.0,25.0,0.0,0.0,0.0
1969.7125,-80.0,75.0,25.0,0.0,0.0,0.0
1969.8125,-80.0,75.0,25.0,0.0,0.0,0.0
1969.9125,-80.0,75.0,25.0,0.0,0.0,0.0
1970.0125,-80.0,75.0,25.0,0.0,0.0,0.0
1970.1125,-80.0,75.0,25.0,0.0,0.0,0.0
1970.2125,-80.0,75.0,25.0,0.0,0.0,0.0
1970.3125,-80.0,75.0,25.0,0.0,0.0,0.0
1970.4125,-80.0,75.0,25.0,0.0,0.0,0.0
1970.5125,-80.0,75.0,25.0,0.0,0.0,0.0
1970.6125,-80.0,75.0,25.0,0.0,0.0,0.0
1970.7125,-80.0,75.0,25.0,0.0,0.0,0.0
1970.81,-80.0,75.0,25.0,0.0,0.0,0.0
1970.9125,-80.0,75.0,25.0,0.0,0.0,0.0
1971.0125,-80.0,75.0,25.0,0.0,0.0,0.0
1971.1125,-80.0,75.0,25.0,0.0,0.0,0.0
1971.2125,-80.0,75.0,25.0,0.0,0.0,0.0
1971.3125,-80.0,75.0,25.0,0.0,0.0,0.0
1971.41,-80.0,75.0,25.0,0.0,0.0,0.0
1971.5125,-80.0,75.0,25.0,0.0,0.0,0.0
1971.6125,-80.0,75.0,25.0,0.0,0.0,0.0
1971.7125,-80.0,75.0,25.0,0.0,0.0,0.0
1971.8125,-80.0,75.0,25.0,0.0,0.0,0.0
1971.91,-80.0,75.0,25.0,0.0,0.0,0.0
1972.0125,-80.0,75.0,25.0,0.0,0.0,0.0
1972.1125,-80.0,75.0,25.0,0.0,0.0,0.0
1972.2075,-80.0,75.0,25.0,0.0,0.0,0.0
1972.3125,-80.0,75.0,25.0,0.0,0.0,0.0
1972.4125,-80.0,75.0,25.0,0.0,0.0,0.0
1972.5125,-80.0,75.0,25.0,0.0,0.0,0.0
1972.6125,-80.0,75.0,25.0,0.0,0.0,0.0
1972.7125,-80.0,75.0,25.0,0.0,0.0,0.0
1972.8125,-80.0,75.0,25.0,0.0,0.0,0.0
1972.915,-80.0,75.0,25.0,0.0,0.0,0.0
1973.0125,-80.0,75.0,25.0,0.0,0.0,0.0
1973.1125,-80.0,75.0,25.0,0.0,0.0,0.0
1973.2125,-80.0,75.0,25.0,0.0,0.0,0.0
1973.3125,-80.0,75.0,25.0,0.0,0.0,0.0
1973.4125,-80.0,75.0,25.0,0.0,0.0,0.0
1973.5125,-80.0,75.0,25.0,0.0,0.0,0.0
1973.6125,-80.0,75.0,25.0,0.0,0.0,0.0
1973.7125,-80.0,75.0,25.0,0.0,0.0,0.0
1973.8125,-80.0,75.0,25.0,0.0,0.0,0.0
1973.9125,-80.0,75.0,25.0,0.0,0.0,0.0
1974.0125,-80.0,75.0,25.0,0.0,0.0,0.0
1974.1125,-80.0,75.0,25.0,0.0,0.0,0.0
1974.2125,-80.0,75.0,25.0,0.0,0.0,0.0
1974.3125,-80.0,75.0,25.0,0.0,0.0,0.0
1974.4125,-80.0,75.0,25.0,0.0,0.0,0.0
1974.5125,-80.0,75.0,25.0,0.0,0.0,0.0
1974.6125,-80.0,75.0,25.0,0.0,0.0,0.0
1974.7125,-80.0,75.0,25.0,0.0,0.0,0.0
1974.8125,-80.0,75.0,25.0,0.0,0.0,0.0
1974.9125,-80.0,75.0,25.0,0.0,0.0,0.0
1975.0125,-80.0,75.0,25.0,0.0,0.0,0.0
1975.1175,-80.0,75.0,25.0,0.0,0.0,0.0
1975.2125,-80.0,75.0,25.0,0.0,0.0,0.0
1975.3125,-80.0,75.0,25.0,0.0,0.0,0.0
1975.4125,-80.0,75.0,25.0,0.0,0.0,0.0
1975.5125,-80.0,75.0,25.0,0.0,0.0,0.0
1975.6125,-80.0,75.0,25.0,0.0,0.0,0.0
1975.7125,-80.0,75.0,25.0,0.0,0.0,0.0
1975.8125,-80.0,75.0,25.0,0.0,0.0,0.0
1975.9125,-80.0,75.0,25.0,0.0,0.0,0.0
1976.0125,-80.0,75.0,25.0,0.0,0.0,0.0
1976.1125,-80.0,75.0,25.0,0.0,0.0,0.0
1976.2125,-80.0,75.0,25.0,0.0,0.0,0.0
1976.3125,-80.0,75.0,25.0,0.0,0.0,0.0
1976.4125,-80.0,75.0,25.0,0.0,0.0,0.0
1976.5125,-80.0,75.0,25.0,0.0,0.0,0.0
1976.61,-80.0,75.0,25.0,0.0,0.0,0.0
1976.71,-80.0,75.0,25.0,0.0,0.0,0.0
1976.8125,-80.0,75.0,25.0,0.0,0.0,0.0
1976.9125,-80.0,75.0,25.0,0.0,0.0,0.0
1977.0125,-80.0,75.0,25.0,0.0,0.0,0.0
1977.1125,-80.0,75.0,25.0,0.0,0.0,0.0
1977.2125,-80.0,75.0,25.0,0.0,0.0,0.0
1977.3125,-80.0,75.0,25.0,0.0,0.0,0.0
1977.4125,-80.0,75.0,25.0,0.0,0.0,0.0
1977.5125,-80.0,75.0,25.0,0.0,0.0,0.0
1977.6125,-80.0,75.0,25.0,0.0,0.0,0.0
1977.7125,-80.0,75.0,25.0,0.0,0.0,0.0
1977.8125,-80.0,75.0,25.0,0.0,0.0,0.0
1977.9125,-80.0,75.0,25.0,0.0,0.0,0.0
1978.0125,-80.0,75.0,25.0,0.0,0.0,0.0
1978.1125,-80.0,75.0,25.0,0.0,0.0,0.0
1978.2125,-80.0,75.0,25.0,0.0,0.0,0.0
1978.3125,-80.0,75.0,25.0,0.0,0.0,0.0
1978.4125,-80.0,75.0,25.0,0.0,0.0,0.0
1978.5125,-80.0,75.0,25.0,0.0,0.0,0.0
1978.6125,-80.0,75.0,25.0,0.0,0.0,0.0
1978.7125,-80.0,75.0,25.0,0.0,0.0,0.0
1978.8125,-80.0,75.0,25.0,0.0,0.0,0.0
1978.91,-80.0,75.0,25.0,0.0,0.0,0.0
1979.0125,-80.0,75.0,25.0,0.0,0.0,0.0
1979.1125,-80.0,75.0,25.0,0.0,0.0,0.0
1979.2125,-80.0,75.0,25.0,0.0,0.0,0.0
1979.3125,-80.0,75.0,25.0,0.0,0.0,0.0
1979.4125,-80.0,75.0,25.0,0.0,0.0,0.0
1979.5125,-80.0,75.0,25.0,0.0,0.0,0.0
1979.6125,-80.0,75.0,25.0,0.0,0.0,0.0
1979.7125,-80.0,75.0,25.0,0.0,0.0,0.0
1979.8125,-80.0,75.0,25.0,0.0,0.0,0.0
1979.9125,-80.0,75.0,25.0,0.0,0.0,0.0
1980.0125,-80.0,75.0,25.0,0.0,0.0,0.0
1980.1125,-80.0,75.0,25.0,0.0,0.0,0.0
1980.2125,-80.0,75.0,25.0,0.0,0.0,0.0
1980.3125,-80.0,75.0,25.0,0.0,0.0,0.0
1980.4125,-80.0,75.0,25.0,0.0,0.0,0.0
1980.5125,-80.0,75.0,25.0,0.0,0.0,0.0
1980.6125,-80.0,75.0,25.0,0.0,0.0,0.0
1980.7125,-80.0,75.0,25.0,0.0,0.0,0.0
1980.8125,-80.0,75.0,25.0,0.0,0.0,0.0
1980.9125,-80.0,75.0,25.0,0.0,0.0,0.0
1981.0125,-80.0,75.0,25.0,0.0,0.0,0.0
1981.1125,-80.0,75.0,25.0,0.0,0.0,0.0
1981.2125,-80.0,75.0,25.0,0.0,0.0,0.0
1981.3125,-80.0,75.0,25.0,0.0,0.0,0.0
1981.4125,-80.0,75.0,25.0,0.0,0.0,0.0
1981.5125,-80.0,75.0,25.0,0.0,0.0,0.0
1981.6125,-80.0,75.0,25.0,0.0,0.0,0.0
1981.7125,-80.0,75.0,25.0,0.0,0.0,0.0
1981.8125,-80.0,75.0,25.0,0.0,0.0,0.0
1981.9125,-80.0,75.0,25.0,0.0,0.0,0.0
1982.0125,-80.0,75.0,25.0,0.0,0.0,0.0
1982.11,-80.0,75.0,25.0,0.0,0.0,0.0
1982.2125,-80.0,75.0,25.0,0.0,0.0,0.0
1982.3125,-80.0,75.0,25.0,0.0,0.0,0.0
1982.4125,-80.0,75.0,25.0,0.0,0.0,0.0
1982.5125,-80.0,75.0,25.0,0.0,0.0,0.0
1982.6125,-80.0,75.0,25.0,0.0,0.0,0.0
1982.7125,-80.0,75.0,25.0,0.0,0.0,0.0
1982.8125,-80.0,75.0,25.0,0.0,0.0,0.0
1982.9125,-80.0,75.0,25.0,0.0,0.0,0.0
1983.0125,-80.0,75.0,25.0,0.0,0.0,0.0
1983.1125,-80.0,75.0,25.0,0.0,0.0,0.0
1983.2125,-80.0,75.0,25.0,0.0,0.0,0.0
1983.3125,-80.0,75.0,25.0,0.0,0.0,0.0
1983.4125,-80.0,75.0,25.0,0.0,0.0,0.0
1983.5125,-80.0,75.0,25.0,0.0,0.0,0.0
1983.6125,-80.0,75.0,25.0,0.0,0.0,0.0
1983.7125,-80.0,75.0,25.0,0.0,0.0,0.0
1983.815,-80.0,75.0,25.0,0.0,0.0,0.0
1983.9125,-80.0,75.0,25.0,0.0,0.0,0.0
